round_idx,node_id,mesh_kd_loss,mesh_crop_kd_loss,mesh_sup_loss,mesh_proto_loss,mesh_crop_accuracy,mesh_disease_accuracy,mesh_pair_accuracy,mesh_crop_macro_precision,mesh_crop_macro_recall,mesh_crop_macro_f1,mesh_disease_macro_precision,mesh_disease_macro_recall,mesh_disease_macro_f1,mesh_pair_macro_precision,mesh_pair_macro_recall,mesh_pair_macro_f1,baseline_crop_accuracy,baseline_disease_accuracy,baseline_pair_accuracy,baseline_crop_macro_precision,baseline_crop_macro_recall,baseline_crop_macro_f1,baseline_disease_macro_precision,baseline_disease_macro_recall,baseline_disease_macro_f1,baseline_pair_macro_precision,baseline_pair_macro_recall,baseline_pair_macro_f1
1,node_4,0.265887850522995,0.19342102110385895,1.5950178503990173,0.3971571718653043,0.7951807228915663,0.6265060240963856,0.5542168674698795,0.7071569734613213,0.6339646464646465,0.6561736001095269,0.4851010101010101,0.45396270396270394,0.44824706129053954,0.4595454545454546,0.36419968919968926,0.38804057865842767,0.7951807228915663,0.5662650602409639,0.5301204819277109,0.6583077102887762,0.6449747474747475,0.6432539682539683,0.4723484848484848,0.45396270396270394,0.4196936875182847,0.3378968253968254,0.3406954156954157,0.3100393145013165
1,node_5,0.29916604831814764,0.22203935086727142,2.023042106628418,0.38734540343284607,0.7288135593220338,0.4745762711864407,0.4067796610169492,0.5073643410852713,0.4735209235209235,0.47368421052631576,0.17988505747126438,0.25127408823061,0.1993574550135636,0.19664160401002506,0.2210526315789474,0.19101921470342526,0.0847457627118644,0.0847457627118644,0.06779661016949153,0.014619883040935672,0.16666666666666666,0.026881720430107527,0.08232118758434548,0.0802675585284281,0.016498528793610762,0.003693444136657433,0.05263157894736842,0.006902502157031924
2,node_0,0.40056235236780985,0.2795863055757114,2.2302332861082896,0.4017057365604809,0.8961038961038961,0.5844155844155844,0.5844155844155844,0.9714285714285713,0.7575757575757576,0.8096153846153846,0.5696634615384616,0.5010737628384686,0.4901786772125118,0.5638354700854701,0.5312791783380018,0.5315799928786942,0.7272727272727273,0.37662337662337664,0.3246753246753247,0.6174242424242424,0.39734848484848484,0.43568151147098516,0.38106758832565285,0.2571568627450981,0.2541101055806938,0.3361436950146628,0.19640522875816993,0.19624982860276977
2,node_1,0.28158707400927174,0.2030888652572265,1.1389142664579244,0.4723226072696539,0.7647058823529411,0.6323529411764706,0.5882352941176471,0.5887380593262946,0.6014652014652014,0.5874228395061728,0.4043055555555556,0.40699633699633697,0.3940752351097178,0.3678838522588522,0.34710012210012203,0.3435427067610976,0.29411764705882354,0.1323529411764706,0.1323529411764706,0.14497354497354498,0.19999999999999998,0.12083333333333333,0.023273657289002558,0.10333333333333332,0.036755823986194994,0.019394714407502133,0.0861111111111111,0.030629853321829163
2,node_2,0.22222182023174622,0.13784338336657076,1.2168017485562492,0.39673895345014687,0.7628865979381443,0.7319587628865979,0.6288659793814433,0.7936911487758945,0.6041310541310542,0.6463282959659771,0.47736185383244206,0.47811188811188815,0.4732719446278768,0.4363133640552995,0.3914394961763382,0.39933333333333326,0.4948453608247423,0.3917525773195876,0.36082474226804123,0.4497474747474748,0.3684472934472935,0.29903990746096015,0.3080884540990924,0.3038461538461539,0.24607202655127847,0.24464453720267673,0.2811721611721612,0.2025604804552173
2,node_3,0.23840250680223107,0.17323401849716902,1.2648555431514978,0.4452471463009715,0.7888888888888889,0.6888888888888889,0.6,0.6900220375830132,0.6442810457516339,0.6628306878306879,0.525568623295896,0.4993112947658402,0.4957023769671991,0.5645089285714285,0.47457022144522143,0.5045674281858492,0.6444444444444445,0.5888888888888889,0.4888888888888889,0.5399470899470898,0.5705065359477124,0.534090841262477,0.40805156315992225,0.3980027548209367,0.3805994113272881,0.41299377705627704,0.3610504079254079,0.35458369755244756
2,node_4,0.19897180050611496,0.12711221600572267,1.1575352569421133,0.4682853539784749,0.7710843373493976,0.6746987951807228,0.5542168674698795,0.7287632460046253,0.6205050505050504,0.6457017693576833,0.5017676767676768,0.5198135198135199,0.4711753570991108,0.3812962962962963,0.40835275835275836,0.36339443307185243,0.6144578313253012,0.4939759036144578,0.3855421686746988,0.6116959064327486,0.4509343434343434,0.4471700412876884,0.29289248614806423,0.2948717948717949,0.2751221488063593,0.24229590333038611,0.1784188034188034,0.17410582010582012
2,node_5,0.3103127345442772,0.19073247350752354,1.404895305633545,0.4506934016942978,0.7457627118644068,0.5932203389830508,0.5254237288135594,0.6041827541827542,0.5582611832611832,0.5327264239028945,0.27103409411101714,0.37494027711419015,0.30945953271534665,0.25438596491228066,0.3447368421052632,0.2868553305939876,0.3389830508474576,0.288135593220339,0.23728813559322035,0.563034188034188,0.3205266955266955,0.27083419226276373,0.0940828402366864,0.12804586717630195,0.07808857808857808,0.12276504658776126,0.12017543859649123,0.09504530557162136
3,node_0,0.38676836820585386,0.2109795343130827,1.404843726328441,0.4788642738546644,0.8831168831168831,0.6363636363636364,0.6233766233766234,0.9002164502164502,0.7954545454545455,0.8134032634032634,0.638071504518873,0.5800233426704016,0.5768253968253969,0.5450099076893337,0.5575969781852135,0.549420311489277,0.7532467532467533,0.38961038961038963,0.35064935064935066,0.6475409836065574,0.5587121212121212,0.5830942710256484,0.35503831417624526,0.35227824463118584,0.3284308198261687,0.26673757277205556,0.26570749511925984,0.2571593311551028
3,node_1,0.2537548868702008,0.18254009233071253,0.8298877477645874,0.5409717662976339,0.7058823529411765,0.6029411764705882,0.5588235294117647,0.8115079365079364,0.6099762982115924,0.6442118810539863,0.42917735515258737,0.37734432234432236,0.3594757551114287,0.41396198830409353,0.3418345543345544,0.3384008148714031,0.5735294117647058,0.4411764705882353,0.4117647058823529,0.5851843661441184,0.5033828916181857,0.49622525338637874,0.3358766233766234,0.2991025641025641,0.27668097557091864,0.30505952380952384,0.258974358974359,0.25483996641491896
